X,Y,id,left,top,right,bottom,sent_compound_count,sent_compound_mean
1373282.6895177,5689782.84198866,150,1373257.6895177,5689807.84198866,1373307.6895177,5689757.84198866,,0.0
1373282.6895177,5689732.84198866,151,1373257.6895177,5689757.84198866,1373307.6895177,5689707.84198866,,0.0
1373282.6895177,5689682.84198866,152,1373257.6895177,5689707.84198866,1373307.6895177,5689657.84198866,,0.0
1373282.6895177,5689632.84198866,153,1373257.6895177,5689657.84198866,1373307.6895177,5689607.84198866,,0.0
1373282.6895177,5689582.84198866,154,1373257.6895177,5689607.84198866,1373307.6895177,5689557.84198866,,0.0
1373282.6895177,5689532.84198866,155,1373257.6895177,5689557.84198866,1373307.6895177,5689507.84198866,,0.0
1373282.6895177,5689482.84198866,156,1373257.6895177,5689507.84198866,1373307.6895177,5689457.84198866,,0.0
1373282.6895177,5689432.84198866,157,1373257.6895177,5689457.84198866,1373307.6895177,5689407.84198866,,0.0
1373282.6895177,5689382.84198866,158,1373257.6895177,5689407.84198866,1373307.6895177,5689357.84198866,,0.0
1373282.6895177,5689332.84198866,159,1373257.6895177,5689357.84198866,1373307.6895177,5689307.84198866,,0.0
1373282.6895177,5689282.84198866,160,1373257.6895177,5689307.84198866,1373307.6895177,5689257.84198866,,0.0
1373282.6895177,5689232.84198866,161,1373257.6895177,5689257.84198866,1373307.6895177,5689207.84198866,,0.0
1373282.6895177,5689182.84198866,162,1373257.6895177,5689207.84198866,1373307.6895177,5689157.84198866,,0.0
1373282.6895177,5689132.84198866,163,1373257.6895177,5689157.84198866,1373307.6895177,5689107.84198866,,0.0
1373282.6895177,5689082.84198866,164,1373257.6895177,5689107.84198866,1373307.6895177,5689057.84198866,,0.0
1373282.6895177,5689032.84198866,165,1373257.6895177,5689057.84198866,1373307.6895177,5689007.84198866,,0.0
1373282.6895177,5688982.84198866,166,1373257.6895177,5689007.84198866,1373307.6895177,5688957.84198866,,0.0
1373282.6895177,5688932.84198866,167,1373257.6895177,5688957.84198866,1373307.6895177,5688907.84198866,,0.0
1373282.6895177,5688882.84198866,168,1373257.6895177,5688907.84198866,1373307.6895177,5688857.84198866,,0.0
1373332.6895177,5691632.84198866,169,1373307.6895177,5691657.84198866,1373357.6895177,5691607.84198866,,0.0
1373332.6895177,5691582.84198866,170,1373307.6895177,5691607.84198866,1373357.6895177,5691557.84198866,,0.0
1373332.6895177,5691532.84198866,171,1373307.6895177,5691557.84198866,1373357.6895177,5691507.84198866,,0.0
1373332.6895177,5691482.84198866,172,1373307.6895177,5691507.84198866,1373357.6895177,5691457.84198866,,0.0
1373332.6895177,5691432.84198866,173,1373307.6895177,5691457.84198866,1373357.6895177,5691407.84198866,,0.0
1373332.6895177,5691382.84198866,174,1373307.6895177,5691407.84198866,1373357.6895177,5691357.84198866,,0.0
1373332.6895177,5691332.84198866,175,1373307.6895177,5691357.84198866,1373357.6895177,5691307.84198866,,0.0
1373332.6895177,5691282.84198866,176,1373307.6895177,5691307.84198866,1373357.6895177,5691257.84198866,,0.0
1373332.6895177,5691232.84198866,177,1373307.6895177,5691257.84198866,1373357.6895177,5691207.84198866,,0.0
1373332.6895177,5691182.84198866,178,1373307.6895177,5691207.84198866,1373357.6895177,5691157.84198866,,0.0
1373332.6895177,5691132.84198866,179,1373307.6895177,5691157.84198866,1373357.6895177,5691107.84198866,,0.0
1373332.6895177,5691082.84198866,180,1373307.6895177,5691107.84198866,1373357.6895177,5691057.84198866,,0.0
1373332.6895177,5691032.84198866,181,1373307.6895177,5691057.84198866,1373357.6895177,5691007.84198866,2.0,0.628321
1373332.6895177,5690982.84198866,182,1373307.6895177,5691007.84198866,1373357.6895177,5690957.84198866,,0.0
1373332.6895177,5690932.84198866,183,1373307.6895177,5690957.84198866,1373357.6895177,5690907.84198866,,0.0
1373332.6895177,5690882.84198866,184,1373307.6895177,5690907.84198866,1373357.6895177,5690857.84198866,1.0,0.0
1373332.6895177,5690832.84198866,185,1373307.6895177,5690857.84198866,1373357.6895177,5690807.84198866,2.0,0.422506
1373332.6895177,5690782.84198866,186,1373307.6895177,5690807.84198866,1373357.6895177,5690757.84198866,,0.0
1373332.6895177,5690732.84198866,187,1373307.6895177,5690757.84198866,1373357.6895177,5690707.84198866,1.0,0.249886
1373332.6895177,5690682.84198866,188,1373307.6895177,5690707.84198866,1373357.6895177,5690657.84198866,2.0,0.523593
1373332.6895177,5690632.84198866,189,1373307.6895177,5690657.84198866,1373357.6895177,5690607.84198866,1.0,0.599125
1373332.6895177,5690582.84198866,190,1373307.6895177,5690607.84198866,1373357.6895177,5690557.84198866,,0.0
1373332.6895177,5690532.84198866,191,1373307.6895177,5690557.84198866,1373357.6895177,5690507.84198866,2.0,0.766144
1373332.6895177,5690482.84198866,192,1373307.6895177,5690507.84198866,1373357.6895177,5690457.84198866,,0.0
1373332.6895177,5690432.84198866,193,1373307.6895177,5690457.84198866,1373357.6895177,5690407.84198866,,0.0
1373332.6895177,5690382.84198866,194,1373307.6895177,5690407.84198866,1373357.6895177,5690357.84198866,,0.0
1373332.6895177,5690332.84198866,195,1373307.6895177,5690357.84198866,1373357.6895177,5690307.84198866,2.0,0.704119
1373332.6895177,5690282.84198866,196,1373307.6895177,5690307.84198866,1373357.6895177,5690257.84198866,1.0,0.721343
1373332.6895177,5690232.84198866,197,1373307.6895177,5690257.84198866,1373357.6895177,5690207.84198866,1.0,0.631763
1373332.6895177,5690182.84198866,198,1373307.6895177,5690207.84198866,1373357.6895177,5690157.84198866,,0.0
1373332.6895177,5690132.84198866,199,1373307.6895177,5690157.84198866,1373357.6895177,5690107.84198866,,0.0
1373332.6895177,5690082.84198866,200,1373307.6895177,5690107.84198866,1373357.6895177,5690057.84198866,3.0,0.221108
1373332.6895177,5690032.84198866,201,1373307.6895177,5690057.84198866,1373357.6895177,5690007.84198866,1.0,0.253487
1373332.6895177,5689982.84198866,202,1373307.6895177,5690007.84198866,1373357.6895177,5689957.84198866,2.0,0.3002
